>> main()
load data done!
load data done!
resize done!
resize done!
cnn model construction done!
Training across multiple CPUs.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       24.22% |       25.00% |       2.1811 |       2.1797 |      1.0000e-04 |
|      10 |          10 |       00:00:07 |       24.22% |       25.00% |       1.8642 |       1.9173 |      1.0000e-04 |
|      20 |          20 |       00:00:14 |       25.00% |       25.00% |       1.5218 |       1.5607 |      1.0000e-04 |
|      30 |          30 |       00:00:22 |       37.50% |       37.50% |       1.3405 |       1.3526 |      1.0000e-04 |
|      40 |          40 |       00:00:29 |       41.41% |       35.42% |       1.2568 |       1.3645 |      1.0000e-04 |
|      50 |          50 |       00:00:37 |       41.41% |       39.58% |       1.2309 |       1.2896 |      1.0000e-04 |
|      60 |          60 |       00:00:44 |       37.50% |       37.50% |       1.1838 |       1.2066 |      1.0000e-04 |
|      70 |          70 |       00:00:51 |       49.22% |       50.00% |       1.1526 |       1.1671 |      1.0000e-04 |
|      80 |          80 |       00:00:59 |       60.94% |       43.75% |       1.0862 |       1.1440 |      1.0000e-04 |
|      90 |          90 |       00:01:06 |       61.72% |       47.92% |       1.0611 |       1.1006 |      1.0000e-04 |
|     100 |         100 |       00:01:14 |       67.19% |       66.67% |       1.0317 |       1.0859 |      1.0000e-04 |
|     110 |         110 |       00:01:21 |       67.97% |       62.50% |       1.0085 |       1.0396 |      1.0000e-04 |
|     120 |         120 |       00:01:28 |       75.00% |       66.67% |       0.9513 |       1.0208 |      1.0000e-04 |
|     130 |         130 |       00:01:36 |       71.09% |       79.17% |       0.9464 |       0.9173 |      1.0000e-04 |
|     140 |         140 |       00:01:43 |       73.44% |       77.08% |       0.9162 |       0.9074 |      1.0000e-04 |
|     150 |         150 |       00:01:51 |       82.03% |       83.33% |       0.8443 |       0.8570 |      1.0000e-04 |
|     160 |         160 |       00:01:58 |       78.12% |       83.33% |       0.8640 |       0.8189 |      1.0000e-04 |
|     170 |         170 |       00:02:06 |       75.00% |       81.25% |       0.8822 |       0.8322 |      1.0000e-04 |
|     180 |         180 |       00:02:14 |       75.78% |       72.92% |       0.8400 |       0.8759 |      1.0000e-04 |
